轮播,#genre#
高帧电影,http://epg.112114.xyz/douyu/431460

女神影院,https://pull.kktv8.com/livekktv/99350550.flv
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
黑莓电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225718/index.m3u8

NewTV动作电影,http://39.135.138.60:18890/PLTV/88888910/224/3221225620/index.m3u8
NewTV动作电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225678/index.m3u8

午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
神乐影片2,http://epg.112114.xyz/douyu/85894
周末影院,http://epg.112114.xyz/douyu/3637765
刘德华电影2,http://epg.112114.xyz/douyu/8985415
喜剧经典,http://epg.112114.xyz/douyu/9650887
霍格影片,http://epg.112114.xyz/douyu/8814650
奶虫恐怖电影,http://epg.112114.xyz/douyu/263824
喜剧电影,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8


峨眉电影,http://182.151.211.171:808/hls/58/index.m3u8
星卫电影台,http://23.237.10.66:16359
星卫电影台,http://pull-l3-cny.douyincdn.com/third/stream-80d54eadb8f343a8b837c22e336155d1.m3u8
星卫电影台,http://137.175.36.206:8188/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
星衛娛樂台,http://23.237.10.66:16359
星光影院 8M,http://cfss.cc/ds/bst.php?id=Cf-70
谍战剧场 8M,http://cfss.cc/ds/bst.php?id=Cf-71
全球大片 8M,http://cfss.cc/ds/bst.php?id=Cf-72
贝爷MAX厅,http://epg.112114.xyz/douyu/4332
漫威影片,http://epg.112114.xyz/douyu/6140589
欧美大片,https://magselect-stirr.amagi.tv/playlist1080p.m3u8

央视爱尚(ijk),#genre#
